name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt
Honda Civic 2011,7900,"184,557",0,https://www.craigslist.org/view/d/surrey-honda-civic-2011/hVRWRRthRy62yPsnNQGLV2,excellent,gas,brown,clean,automatic,sedan,4 cylinders,fwd,Surrey,,
2014 Jeep Grand Cherokee Limited 4X4,9500,"217,000",0,https://www.craigslist.org/view/d/surrey-upper-west-2014-jeep-grand/vaHyWJoiAwBssEB2q3sQZ9,excellent,gas,white,rebuilt,automatic,SUV,6 cylinders,4wd,Surrey,,
2020 Lexus NX300h Hybrid   83k km only!,36900,"83,000",0,https://www.craigslist.org/view/d/richmond-2020-lexus-nx300h-hybrid-83k/7UJbyizCovRazRdHHjezJt,excellent,hybrid,,clean,automatic,SUV,4 cylinders,4wd,Richmond,JTJGJRDZ3L2142809,
2012 BMW 328I Hardtop  Convertible 79K km only! NO ACCIDENTS,16900,"79,000",0,https://www.craigslist.org/view/d/richmond-2012-bmw-328i-hardtop/hubfaZciFuJX9K4sQcKqM1,excellent,gas,white,clean,automatic,convertible,6 cylinders,,Richmond,WBADW3C56CE821777,
2014 Tiguan,11000,"165,298",0,https://www.craigslist.org/view/d/richmond-2014-tiguan/dpUhu7kxGnZJCXPyjoJWD1,excellent,gas,red,clean,automatic,wagon,,4wd,Richmond,,
2010 Ford Fusion SEL - Runs & Drives Excellent!!,4500,"203,000",0,https://www.craigslist.org/view/d/surrey-upper-west-2010-ford-fusion-sel/cUsdoscvfgrp8HPWacWinB,good,gas,grey,rebuilt,automatic,sedan,4 cylinders,fwd,Surrey,,
2015 Silverado High Country,16000,"279,000",0,https://www.craigslist.org/view/d/mission-2015-silverado-high-country/bpbdnExkpT56Ak2TJifXnT,,gas,blue,clean,automatic,pickup,8 cylinders,,Mission,,
1979 camaro Z28,29500,"10,000,000",0,https://www.craigslist.org/view/d/mission-east-1979-camaro-z28/kBRQnavkMVyDb3xza33h8k,like new,gas,,clean,automatic,,8 cylinders,rwd,Mission,,
2006 Ford Escape,2200,"218,000",0,https://www.craigslist.org/view/d/vancouver-2006-ford-escape/sXtciXeZfApguPNALGeSeX,good,gas,brown,rebuilt,automatic,SUV,6 cylinders,4wd,Vancouver,,
"2008 Mini Cooper Auto. Local No Accident 158,000 KM",3500,"158,000",0,https://www.craigslist.org/view/d/richmond-2008-mini-cooper-auto-local-no/wPMsYamMZPyZBxBAhEi3vQ,good,gas,red,clean,automatic,hatchback,4 cylinders,fwd,Richmond,WMWMF335X8TT60604,
"FS: 2008 Mini Cooper Auto. Local No Accident 158,000 KM",3500,"158,000",0,https://www.craigslist.org/view/d/richmond-fs-2008-mini-cooper-auto-local/bd21We3ebgbPxLVC7Rkwg6,fair,gas,red,clean,automatic,hatchback,4 cylinders,fwd,Richmond,WMWMF335X8TT60604,
